,status
1533,0
1534,0
1535,0
2874,0
2875,0
2876,0
8544,0
8545,0
8546,0
7209,0
7210,0
7211,0
7647,0
7648,0
7649,0
2934,0
2935,0
2936,0
7920,0
7921,0
7922,0
1536,0
1537,0
1538,0
6042,0
6043,0
6044,0
7002,0
7003,0
7004,0
3381,0
3382,0
3383,0
4707,0
4708,0
4709,0
1542,0
1543,0
1544,0
1545,0
1546,0
1547,0
8097,0
8098,0
8099,0
2100,0
2101,0
2102,0
7590,0
7591,0
7592,0
2766,0
2767,0
2768,0
1548,0
1549,0
1550,0
3492,0
3493,0
3494,0
2889,0
2890,0
2891,0
1551,0
1552,0
1553,0
3225,0
3226,0
3227,0
4230,0
4231,0
4232,0
7083,0
7084,0
7085,0
1575,0
1576,0
1577,0
3861,0
3862,0
3863,0
8388,0
8389,0
8390,0
4533,0
4534,0
4535,0
5313,0
5314,0
5315,0
2079,0
2080,0
2081,0
5583,0
5584,0
5585,0
6777,0
6778,0
6779,0
7272,0
7273,0
7274,0
3639,0
3640,0
3641,0
5115,0
5116,0
5117,0
8241,0
8242,0
8243,0
4470,0
4471,0
4472,0
7833,0
7834,0
7835,0
1584,0
1585,0
1586,0
4791,0
4792,0
4793,0
3966,0
3967,0
3968,0
1554,0
1555,0
1556,0
3084,0
3085,0
3086,0
5136,0
5137,0
5138,0
5409,0
5410,0
5411,0
2223,0
2224,0
2225,0
1590,0
1591,0
1592,0
3126,0
3127,0
3128,0
2361,0
2362,0
2363,0
8448,0
8449,0
8450,0
1911,0
1912,0
1913,0
1593,0
1594,0
1595,0
4458,0
4459,0
4460,0
5184,0
5185,0
5186,0
4278,0
4279,0
4280,0
1599,0
1600,0
1601,0
1614,0
1615,0
1616,0
6636,0
6637,0
6638,0
6144,0
6145,0
6146,0
6366,0
6367,0
6368,0
816,0
817,0
818,0
4872,0
4873,0
4874,0
3915,0
3916,0
3917,0
6429,0
6430,0
6431,0
7608,0
7609,0
7610,0
6426,0
6427,0
6428,0
4071,0
4072,0
4073,0
1623,0
1624,0
1625,0
1626,0
1627,0
1628,0
5985,0
5986,0
5987,0
7695,0
7696,0
7697,0
1629,0
1630,0
1631,0
1632,0
1633,0
1634,0
1635,0
1636,0
1637,0
6966,0
6967,0
6968,0
6111,0
6112,0
6113,0
1641,0
1642,0
1643,0
7944,0
7945,0
7946,0
6969,0
6970,0
6971,0
6396,0
6397,0
6398,0
1557,0
1558,0
1559,0
2259,0
2260,0
2261,0
6774,0
6775,0
6776,0
1647,0
1648,0
1649,0
5106,0
5107,0
5108,0
1650,0
1651,0
1652,0
1653,0
1654,0
1655,0
5367,0
5368,0
5369,0
1569,0
1570,0
1571,0
6141,0
6142,0
6143,0
1560,0
1561,0
1562,0
3354,0
3355,0
3356,0
8004,0
8005,0
8006,0
1656,0
1657,0
1658,0
4710,0
4711,0
4712,0
3423,0
3424,0
3425,0
8574,0
8575,0
8576,0
5088,0
5089,0
5090,0
2166,0
2167,0
2168,0
1659,0
1660,0
1661,0
6540,0
6541,0
6542,0
2148,0
2149,0
2150,0
8169,0
8170,0
8171,0
4677,0
4678,0
4679,0
75,0
76,0
77,0
4179,0
4180,0
4181,0
4374,0
4375,0
4376,0
2721,0
2722,0
2723,0
5316,0
5317,0
5318,0
7629,0
7630,0
7631,0
1812,0
1813,0
1814,0
1671,0
1672,0
1673,0
4218,0
4219,0
4220,0
1410,0
1411,0
1412,0
5121,0
5122,0
5123,0
894,0
895,0
896,0
8229,0
8230,0
8231,0
6609,0
6610,0
6611,0
5031,0
5032,0
5033,0
4524,0
4525,0
4526,0
5958,0
5959,0
5960,0
5745,0
5746,0
5747,0
4092,0
4093,0
4094,0
6915,0
6916,0
6917,0
5580,0
5581,0
5582,0
6771,0
6772,0
6773,0
8499,0
8500,0
8501,0
2445,0
2446,0
2447,0
4410,0
4411,0
4412,0
1566,0
1567,0
1568,0
8334,0
8335,0
8336,0
7041,0
7042,0
7043,0
6828,0
6829,0
6830,0
4017,0
4018,0
4019,0
7095,0
7096,0
7097,0
2448,0
2449,0
2450,0
5019,0
5020,0
5021,0
6834,0
6835,0
6836,0
8505,0
8506,0
8507,0
1689,0
1690,0
1691,0
4059,0
4060,0
4061,0
1950,0
1951,0
1952,0
5730,0
5731,0
5732,0
4917,0
4918,0
4919,0
7236,0
7237,0
7238,0
8235,0
8236,0
8237,0
5856,0
5857,0
5858,0
7371,0
7372,0
7373,0
1851,0
1852,0
1853,0
2697,0
2698,0
2699,0
4965,0
4966,0
4967,0
6417,0
6418,0
6419,0
8256,0
8257,0
8258,0
5769,0
5770,0
5771,0
4155,0
4156,0
4157,0
7770,0
7771,0
7772,0
3426,0
3427,0
3428,0
1617,0
1618,0
1619,0
7803,0
7804,0
7805,0
4254,0
4255,0
4256,0
8274,0
8275,0
8276,0
1686,0
1687,0
1688,0
6195,0
6196,0
6197,0
3720,0
3721,0
3722,0
2508,0
2509,0
2510,0
3561,0
3562,0
3563,0
7362,0
7363,0
7364,0
8316,0
8317,0
8318,0
5265,0
5266,0
5267,0
1701,0
1702,0
1703,0
5754,0
5755,0
5756,0
3993,0
3994,0
3995,0
1668,0
1669,0
1670,0
1182,0
1183,0
1184,0
6483,0
6484,0
6485,0
6189,0
6190,0
6191,0
4416,0
4417,0
4418,0
6708,0
6709,0
6710,0
2289,0
2290,0
2291,0
7341,0
7342,0
7343,0
4449,0
4450,0
4451,0
7905,0
7906,0
7907,0
1692,0
1693,0
1694,0
6534,0
6535,0
6536,0
5325,0
5326,0
5327,0
1380,0
1381,0
1382,0
7455,0
7456,0
7457,0
5535,0
5536,0
5537,0
1017,0
1018,0
1019,0
4614,0
4615,0
4616,0
3111,0
3112,0
3113,0
7146,0
7147,0
7148,0
2745,0
2746,0
2747,0
6561,0
6562,0
6563,0
6564,0
6565,0
6566,0
4110,0
4111,0
4112,0
3072,0
3073,0
3074,0
7149,0
7150,0
7151,0
5685,0
5686,0
5687,0
7569,0
7570,0
7571,0
8607,0
8608,0
8609,0
5397,0
5398,0
5399,0
8013,0
8014,0
8015,0
5169,0
5170,0
5171,0
2496,0
2497,0
2498,0
8457,0
8458,0
8459,0
7656,0
7657,0
7658,0
501,0
502,0
503,0
3894,0
3895,0
3896,0
4566,0
4567,0
4568,0
3870,0
3871,0
3872,0
5148,0
5149,0
5150,0
7215,0
7216,0
7217,0
3204,0
3205,0
3206,0
3132,0
3133,0
3134,0
4884,0
4885,0
4886,0
5319,0
5320,0
5321,0
5706,0
5707,0
5708,0
3459,0
3460,0
3461,0
7161,0
7162,0
7163,0
6201,0
6202,0
6203,0
7812,0
7813,0
7814,0
3567,0
3568,0
3569,0
7143,0
7144,0
7145,0
7485,0
7486,0
7487,0
4446,0
4447,0
4448,0
4980,0
4981,0
4982,0
6519,0
6520,0
6521,0
7350,0
7351,0
7352,0
2919,0
2920,0
2921,0
7407,0
7408,0
7409,0
7476,0
7477,0
7478,0
1722,0
1723,0
1724,0
4950,0
4951,0
4952,0
8517,0
8518,0
8519,0
2958,0
2959,0
2960,0
7953,0
7954,0
7955,0
6027,0
6028,0
6029,0
7572,0
7573,0
7574,0
2526,0
2527,0
2528,0
5568,0
5569,0
5570,0
5571,0
5572,0
5573,0
2937,0
2938,0
2939,0
2502,0
2503,0
2504,0
6864,0
6865,0
6866,0
6903,0
6904,0
6905,0
5823,0
5824,0
5825,0
7644,0
7645,0
7646,0
4569,0
4570,0
4571,0
8340,0
8341,0
8342,0
5337,0
5338,0
5339,0
4437,0
4438,0
4439,0
159,0
160,0
161,0
1725,0
1726,0
1727,0
7275,0
7276,0
7277,0
7587,0
7588,0
7589,0
1728,0
1729,0
1730,0
5787,0
5788,0
5789,0
1734,0
1735,0
1736,0
1605,0
1606,0
1607,0
2337,0
2338,0
2339,0
8289,0
8290,0
8291,0
1737,0
1738,0
1739,0
2862,0
2863,0
2864,0
900,0
901,0
902,0
5613,0
5614,0
5615,0
6651,0
6652,0
6653,0
6807,0
6808,0
6809,0
4809,0
4810,0
4811,0
3699,0
3700,0
3701,0
7008,0
7009,0
7010,0
5637,0
5638,0
5639,0
4509,0
4510,0
4511,0
1743,0
1744,0
1745,0
8715,0
8716,0
8717,0
2667,0
2668,0
2669,0
3957,0
3958,0
3959,0
7308,0
7309,0
7310,0
5157,0
5158,0
5159,0
5085,0
5086,0
5087,0
7164,0
7165,0
7166,0
2610,0
2611,0
2612,0
1746,0
1747,0
1748,0
1749,0
1750,0
1751,0
4977,0
4978,0
4979,0
1980,0
1981,0
1982,0
2676,0
2677,0
2678,0
4419,0
4420,0
4421,0
4299,0
4300,0
4301,0
5049,0
5050,0
5051,0
3726,0
3727,0
3728,0
7602,0
7603,0
7604,0
8601,0
8602,0
8603,0
2856,0
2857,0
2858,0
1758,0
1759,0
1760,0
7926,0
7927,0
7928,0
8055,0
8056,0
8057,0
228,0
229,0
230,0
1764,0
1765,0
1766,0
3810,0
3811,0
3812,0
4719,0
4720,0
4721,0
5322,0
5323,0
5324,0
1767,0
1768,0
1769,0
1770,0
1771,0
1772,0
1773,0
1774,0
1775,0
1776,0
1777,0
1778,0
804,0
805,0
806,0
8610,0
8611,0
8612,0
237,0
238,0
239,0
3279,0
3280,0
3281,0
1785,0
1786,0
1787,0
7152,0
7153,0
7154,0
7545,0
7546,0
7547,0
8292,0
8293,0
8294,0
1788,0
1789,0
1790,0
6720,0
6721,0
6722,0
2493,0
2494,0
2495,0
8385,0
8386,0
8387,0
1791,0
1792,0
1793,0
4899,0
4900,0
4901,0
5415,0
5416,0
5417,0
6156,0
6157,0
6158,0
5622,0
5623,0
5624,0
2982,0
2983,0
2984,0
66,0
67,0
68,0
4542,0
4543,0
4544,0
1908,0
1909,0
1910,0
2229,0
2230,0
2231,0
4821,0
4822,0
4823,0
1794,0
1795,0
1796,0
6906,0
6907,0
6908,0
3627,0
3628,0
3629,0
7950,0
7951,0
7952,0
6729,0
6730,0
6731,0
2406,0
2407,0
2408,0
2118,0
2119,0
2120,0
4854,0
4855,0
4856,0
5859,0
5860,0
5861,0
6423,0
6424,0
6425,0
3906,0
3907,0
3908,0
1740,0
1741,0
1742,0
1095,0
1096,0
1097,0
2082,0
2083,0
2084,0
1233,0
1234,0
1235,0
2955,0
2956,0
2957,0
2640,0
2641,0
2642,0
2973,0
2974,0
2975,0
3396,0
3397,0
3398,0
4995,0
4996,0
4997,0
5109,0
5110,0
5111,0
4716,0
4717,0
4718,0
3504,0
3505,0
3506,0
7785,0
7786,0
7787,0
2613,1
2614,1
2615,1
951,1
952,1
953,1
8682,1
8683,1
8684,1
5229,1
5230,1
5231,1
2925,1
2926,1
2927,1
2460,1
2461,1
2462,1
7821,1
7822,1
7823,1
1347,1
1348,1
1349,1
2244,1
2245,1
2246,1
3672,1
3673,1
3674,1
4962,1
4963,1
4964,1
8415,1
8416,1
8417,1
7023,1
7024,1
7025,1
2490,1
2491,1
2492,1
2271,1
2272,1
2273,1
3780,1
3781,1
3782,1
6459,1
6460,1
6461,1
8421,1
8422,1
8423,1
4485,1
4486,1
4487,1
63,1
64,1
65,1
6,1
7,1
8,1
3393,1
3394,1
3395,1
8268,1
8269,1
8270,1
5937,1
5938,1
5939,1
2181,1
2182,1
2183,1
6480,1
6481,1
6482,1
3771,1
3772,1
3773,1
4698,1
4699,1
4700,1
2274,1
2275,1
2276,1
7689,1
7690,1
