,status
3952,0
3953,0
3954,0
3955,0
8336,0
8337,0
8338,0
8339,0
9748,0
9749,0
9750,0
9751,0
1792,0
1793,0
1794,0
1795,0
7680,0
7681,0
7682,0
7683,0
9752,0
9753,0
9754,0
9755,0
3380,0
3381,0
3382,0
3383,0
1324,0
1325,0
1326,0
1327,0
3552,0
3553,0
3554,0
3555,0
7216,0
7217,0
7218,0
7219,0
4300,0
4301,0
4302,0
4303,0
2236,0
2237,0
2238,0
2239,0
1804,0
1805,0
1806,0
1807,0
7984,0
7985,0
7986,0
7987,0
2248,0
2249,0
2250,0
2251,0
1800,0
1801,0
1802,0
1803,0
5860,0
5861,0
5862,0
5863,0
4648,0
4649,0
4650,0
4651,0
6156,0
6157,0
6158,0
6159,0
6160,0
6161,0
6162,0
6163,0
7312,0
7313,0
7314,0
7315,0
9472,0
9473,0
9474,0
9475,0
1812,0
1813,0
1814,0
1815,0
3368,0
3369,0
3370,0
3371,0
8268,0
8269,0
8270,0
8271,0
8752,0
8753,0
8754,0
8755,0
3440,0
3441,0
3442,0
3443,0
1816,0
1817,0
1818,0
1819,0
6984,0
6985,0
6986,0
6987,0
8036,0
8037,0
8038,0
8039,0
3960,0
3961,0
3962,0
3963,0
1824,0
1825,0
1826,0
1827,0
9248,0
9249,0
9250,0
9251,0
2488,0
2489,0
2490,0
2491,0
8680,0
8681,0
8682,0
8683,0
1828,0
1829,0
1830,0
1831,0
4084,0
4085,0
4086,0
4087,0
3388,0
3389,0
3390,0
3391,0
1832,0
1833,0
1834,0
1835,0
3784,0
3785,0
3786,0
3787,0
4932,0
4933,0
4934,0
4935,0
8136,0
8137,0
8138,0
8139,0
4504,0
4505,0
4506,0
4507,0
9540,0
9541,0
9542,0
9543,0
5256,0
5257,0
5258,0
5259,0
6164,0
6165,0
6166,0
6167,0
2468,0
2469,0
2470,0
2471,0
6480,0
6481,0
6482,0
6483,0
7780,0
7781,0
7782,0
7783,0
8340,0
8341,0
8342,0
8343,0
4244,0
4245,0
4246,0
4247,0
5924,0
5925,0
5926,0
5927,0
5180,0
5181,0
5182,0
5183,0
1868,0
1869,0
1870,0
1871,0
5540,0
5541,0
5542,0
5543,0
4632,0
4633,0
4634,0
4635,0
1836,0
1837,0
1838,0
1839,0
5952,0
5953,0
5954,0
5955,0
6280,0
6281,0
6282,0
6283,0
2620,0
2621,0
2622,0
2623,0
1876,0
1877,0
1878,0
1879,0
3664,0
3665,0
3666,0
3667,0
2788,0
2789,0
2790,0
2791,0
9588,0
9589,0
9590,0
9591,0
2264,0
2265,0
2266,0
2267,0
1880,0
1881,0
1882,0
1883,0
4984,0
4985,0
4986,0
4987,0
1888,0
1889,0
1890,0
1891,0
1904,0
1905,0
1906,0
1907,0
7628,0
7629,0
7630,0
7631,0
7080,0
7081,0
7082,0
7083,0
7336,0
7337,0
7338,0
7339,0
972,0
973,0
974,0
975,0
5636,0
5637,0
5638,0
5639,0
4576,0
4577,0
4578,0
4579,0
7400,0
7401,0
7402,0
7403,0
7396,0
7397,0
7398,0
7399,0
4752,0
4753,0
4754,0
4755,0
1916,0
1917,0
1918,0
1919,0
6932,0
6933,0
6934,0
6935,0
8808,0
8809,0
8810,0
8811,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
7056,0
7057,0
7058,0
7059,0
1936,0
1937,0
1938,0
1939,0
9080,0
9081,0
9082,0
9083,0
7992,0
7993,0
7994,0
7995,0
7372,0
7373,0
7374,0
7375,0
1840,0
1841,0
1842,0
1843,0
2660,0
2661,0
2662,0
2663,0
7776,0
7777,0
7778,0
7779,0
1944,0
1945,0
1946,0
1947,0
5912,0
5913,0
5914,0
5915,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
6228,0
6229,0
6230,0
6231,0
1852,0
1853,0
1854,0
1855,0
1844,0
1845,0
1846,0
1847,0
1956,0
1957,0
1958,0
1959,0
5448,0
5449,0
5450,0
5451,0
4004,0
4005,0
4006,0
4007,0
9704,0
9705,0
9706,0
9707,0
5888,0
5889,0
5890,0
5891,0
2560,0
2561,0
2562,0
2563,0
1960,0
1961,0
1962,0
1963,0
7524,0
7525,0
7526,0
7527,0
9332,0
9333,0
9334,0
9335,0
5408,0
5409,0
5410,0
5411,0
92,0
93,0
94,0
95,0
4868,0
4869,0
4870,0
4871,0
5088,0
5089,0
5090,0
5091,0
3192,0
3193,0
3194,0
3195,0
6168,0
6169,0
6170,0
6171,0
8728,0
8729,0
8730,0
8731,0
2144,0
2145,0
2146,0
2147,0
1976,0
1977,0
1978,0
1979,0
4916,0
4917,0
4918,0
4919,0
1668,0
1669,0
1670,0
1671,0
5932,0
5933,0
5934,0
5935,0
1072,0
1073,0
1074,0
1075,0
9376,0
9377,0
9378,0
9379,0
7600,0
7601,0
7602,0
7603,0
5828,0
5829,0
5830,0
5831,0
5244,0
5245,0
5246,0
5247,0
6904,0
6905,0
6906,0
6907,0
6660,0
6661,0
6662,0
6663,0
4776,0
4777,0
4778,0
4779,0
7940,0
7941,0
7942,0
7943,0
6476,0
6477,0
6478,0
6479,0
7772,0
7773,0
7774,0
7775,0
9632,0
9633,0
9634,0
9635,0
2888,0
2889,0
2890,0
2891,0
5132,0
5133,0
5134,0
5135,0
9480,0
9481,0
9482,0
9483,0
8084,0
8085,0
8086,0
8087,0
7840,0
7841,0
7842,0
7843,0
4688,0
